TRANSACTION TYPE,DATE POSTED,TRANSACTION AMOUNT,TRANSACTION ID,CHECK NUMBER,TRANSACTION NAME,MEMO
DEBIT,2/2/2015,-120,5522,,AMEX EPayment   ACH PMT   150130,AMEX EPayment   ACH PMT   150130
DEBIT,2/2/2015,-54.11,5521,,P.G.E.          WEBPAY,P.G.E.          WEBPAY
XFER,2/2/2015,-150,5520,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 02/01/15 20:48ET  Ref. 327067432
DIV,1/31/2015,0.47,5519,,DIVIDEND,
DEBIT,1/29/2015,-135.44,5518,,ATT             Payment   012715,ATT             Payment   012715
DEP,1/29/2015,369.21,5517,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEP,1/29/2015,1883.72,5516,,OREGON HEALTH SCSALARY    150127,OREGON HEALTH SCSALARY    150127
DEBIT,1/29/2015,-2000,5515,,BK OF AMER VI/MCONLINE PMT150129,BK OF AMER VI/MCONLINE PMT150129
CHECK,1/28/2015,-161,5514,20032,SH DRAFT,BILL PAY TO: VILLAGE AT SUMMER CREEK HOMEOWNERS' ASS.
DEP,1/28/2015,107.4,5513,,ATM 0128 1618 609025 14985 SW BA,ATM 0128 1618 609025 14985 SW BARROWS RD     BEAVERTON    OR
DEP,1/28/2015,52,5512,,ATM 0128 1618 609007 14985 SW BA,ATM 0128 1618 609007 14985 SW BARROWS RD     BEAVERTON    OR
DEBIT,1/28/2015,-34.99,5511,,Frontier CommuniEBILLPAY  150128,Frontier CommuniEBILLPAY  150128
DEBIT,1/28/2015,-75,5510,,AMEX EPayment   ACH PMT   150127,AMEX EPayment   ACH PMT   150127
DEBIT,1/28/2015,-156.2,5509,,OCCU            LOAN PMT  150128,OCCU            LOAN PMT  150128
XFER,1/27/2015,1500,5508,,XFER From REWARDS SAVINGS (3),Internet transfer 01/27/15 22:53ET  Ref. 326754698
DEBIT,1/26/2015,-50,5507,,Wells Fargo FinaEBILLPAY  150126,Wells Fargo FinaEBILLPAY  150126
DEBIT,1/26/2015,-150,5506,,AMEX EPayment   ACH PMT   150124,AMEX EPayment   ACH PMT   150124
DEBIT,1/22/2015,-1317.48,5505,,Nationstar MortgEBILLPAY  150122,Nationstar MortgEBILLPAY  150122
DEP,1/22/2015,355.98,5504,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEBIT,1/22/2015,-500,5503,,BK OF AMER VI/MCONLINE PMT150122,BK OF AMER VI/MCONLINE PMT150122
DEBIT,1/21/2015,-160,5502,,AMEX EPayment   ACH PMT   150120,AMEX EPayment   ACH PMT   150120
DEBIT,1/20/2015,-10,5501,,Planet Fit 0771 MEMBERDUES012015,Planet Fit 0771 MEMBERDUES012015
DEBIT,1/20/2015,-10,5500,,Planet Fit 0771 MEMBERDUES012015,Planet Fit 0771 MEMBERDUES012015
DEBIT,1/20/2015,-25.95,5499,,BANFIELD WELLNESS P      866-89,BANFIELD WELLNESS P      866-894-7927 OR 01-18-15 009934
XFER,1/20/2015,-150,5498,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 01/18/15 20:31ET  Ref. 326295774
DEP,1/16/2015,1233.38,5497,,ATM 0116 1657 869755 US BANK GRE,ATM 0116 1657 869755 US BANK GREENWAY        BEAVERTON    OR
DEP,1/16/2015,1135.5,5496,,OIT             REFUND,OIT             REFUND
DEBIT,1/15/2015,-80,5495,,ATM 0115 1631 798817 3181 SW SAM,ATM 0115 1631 798817 3181 SW SAM JACKSON     PORTLAND     OR
DEP,1/15/2015,558.79,5494,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEBIT,1/14/2015,-302.71,5493,,NAVI  ED SERV PPSTUDNTLOAN150113,NAVI  ED SERV PPSTUDNTLOAN150113
CHECK,1/13/2015,-26,5492,1429,SH DRAFT,
CHECK,1/13/2015,-140,54921,1441,SH DRAFT,
DEBIT,1/13/2015,-350,5491,,BK OF AMER VI/MCONLINE PMT150113,BK OF AMER VI/MCONLINE PMT150113
DEBIT,1/12/2015,-85.3,5490,,City of Tigard  EBILLPAY  150112,City of Tigard  EBILLPAY  150112
XFER,1/12/2015,500,5489,,XFER From REWARDS SAVINGS (3),Transfer Advocare Ref. 325921965
DEBIT,1/12/2015,-63,5488,,ATM 0111 1924 572779 7675 NYBERG,ATM 0111 1924 572779 7675 NYBERG ST   D      TUALATIN     OR
DEBIT,1/12/2015,-16.92,5487,,WINCO #014 3025          Beaver,WINCO #014 3025          Beaverton    OR 01-11-15 923197
DEBIT,1/8/2015,-18.31,5486,,SAFEWAY  FUEL 10026      BEAVER,SAFEWAY  FUEL 10026      BEAVERTON    OR 01-07-15 086033
DEP,1/8/2015,1508.73,5485,,HBW LEADS LLC   DIRECT DEP150109,HBW LEADS LLC   DIRECT DEP150109
DEBIT,1/8/2015,-523.5,5484,,OR INST TCHNOLGYOIT BAO AR150107,OR INST TCHNOLGYOIT BAO AR150107
DEBIT,1/8/2015,-600,5483,,DEPT EDUCATION  STUDENT LN150107,DEPT EDUCATION  STUDENT LN150107
XFER,1/7/2015,-197.75,5482,,XFER To USED AUTO - DEALER (146),
DEBIT,1/7/2015,-1200,5481,,BK OF AMER VI/MCONLINE PMT150107,BK OF AMER VI/MCONLINE PMT150107
DEBIT,1/6/2015,-142.56,5480,,Amazon Services-Kin      866-32,Amazon Services-Kin      866-321-8851 WA 01-06-15 064250
DEBIT,1/6/2015,-15.42,5479,,Amazon Services-Kin      866-32,Amazon Services-Kin      866-321-8851 WA 01-05-15 031714
CHECK,1/6/2015,-22,5478,20031,SH DRAFT,BILL PAY TO: VILLAGE AT SUMMER CREEK HOMEOWNERS' ASS.
CHECK,1/6/2015,-30,54781,1362,SH DRAFT,
DEBIT,1/6/2015,-200,5477,,AMEX EPayment   ACH PMT   150105,AMEX EPayment   ACH PMT   150105
DEBIT,1/5/2015,-200,5476,,Wells Fargo EducEBILLPAY  150105,Wells Fargo EducEBILLPAY  150105
DEBIT,1/5/2015,-449.58,5475,,WF EFS STDNT LN AUTOPAY   010415,WF EFS STDNT LN AUTOPAY   010415
DEBIT,1/5/2015,-45.67,5474,,NW Natural      GAS PMT   JAN 02,NW Natural      GAS PMT   JAN 02
XFER,1/2/2015,-150,5473,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 01/01/15 20:56ET  Ref. 325377424
